track_id,rack_id,class_id,class_name
50,Rack_1,1,a&w_small
35,Rack_1,1,a&w_small
32,Rack_1,1,a&w_small
48,Rack_1,1,a&w_small
37,Rack_1,1,a&w_small
27,Rack_1,1,a&w_small
36,Rack_1,1,a&w_small
49,Rack_1,4,coke_small
34,Rack_1,4,coke_small
12,Rack_1,4,coke_small
40,Rack_1,4,coke_small
38,Rack_1,4,coke_small
5,Rack_1,4,coke_small
21,Rack_1,17,sprite_small
14,Rack_1,17,sprite_small
25,Rack_1,17,sprite_small
15,Rack_1,17,sprite_small
28,Rack_1,9,empty
57,Rack_1,0,7up_med
58,Rack_1,0,7up_med
62,Rack_1,0,7up_med
66,Rack_1,8,dew_med
45,Rack_2,3,coke_med
20,Rack_2,3,coke_med
22,Rack_2,3,coke_med
24,Rack_2,3,coke_med
3,Rack_2,3,coke_med
47,Rack_2,6,coke_v_med
41,Rack_2,6,coke_v_med
29,Rack_2,6,coke_v_med
26,Rack_2,2,anw_med
17,Rack_2,2,anw_med
43,Rack_2,2,anw_med
42,Rack_2,2,anw_med
46,Rack_2,2,anw_med
7,Rack_2,2,anw_med
30,Rack_2,15,pepsi_med
8,Rack_2,15,pepsi_med
2,Rack_2,15,pepsi_med
16,Rack_2,15,pepsi_med
31,Rack_2,15,pepsi_med
44,Rack_2,15,pepsi_med
55,Rack_2,13,kick_med
53,Rack_2,13,kick_med
52,Rack_2,13,kick_med
56,Rack_2,13,kick_med
61,Rack_2,3,coke_med
63,Rack_2,13,kick_med
65,Rack_2,13,kick_med
69,Rack_2,13,kick_med
6,Rack_3,9,empty
13,Rack_3,7,coke_z_big
1,Rack_3,7,coke_z_big
39,Rack_3,5,coke_v_big
4,Rack_3,5,coke_v_big
33,Rack_3,5,coke_v_big
18,Rack_3,5,coke_v_big
10,Rack_3,5,coke_v_big
9,Rack_3,14,pepsi_big
11,Rack_3,14,pepsi_big
54,Rack_3,14,pepsi_big
19,Rack_3,10,fanta_grape_big
51,Rack_3,10,fanta_grape_big
23,Rack_3,12,fanta_straw_big
59,Rack_3,10,fanta_grape_big
64,Rack_3,12,fanta_straw_big
71,Rack_3,11,fanta_lychee_big
