epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.08559,2.36649,5.52702,2.22153,0,0,0,0,2.35322,7.28089,2.5325,4.76e-06,4.76e-06,4.76e-06
2,4.03881,2.38347,5.19393,2.13625,0,0,0,0,2.30976,7.43382,2.50505,1.40444e-05,1.40444e-05,1.40444e-05
3,4.96031,2.46459,5.44975,2.20382,0,0,0,0,2.23515,7.15945,2.42892,2.30146e-05,2.30146e-05,2.30146e-05
4,6.05433,2.48207,5.01349,2.14098,0,0,0,0,1.66741,6.54899,1.88367,3.16707e-05,3.16707e-05,3.16707e-05
5,7.11194,2.07131,4.84167,1.91533,0,0,0,0,1.48469,6.03081,1.69086,4.00126e-05,4.00126e-05,4.00126e-05
6,8.15339,1.71412,4.16807,1.66352,1,0.22222,0.6111,0.45555,1.15136,4.67551,1.48371,4.80403e-05,4.80403e-05,4.80403e-05
7,9.22277,1.36305,3.41773,1.41342,0.68033,0.88889,0.8489,0.58742,0.99556,3.06196,1.452,5.57539e-05,5.57539e-05,5.57539e-05
8,10.4438,1.3385,2.59727,1.3631,0.72152,0.86544,0.87683,0.65055,1.0087,1.94191,1.52228,6.31533e-05,6.31533e-05,6.31533e-05
9,12.0514,1.18127,1.94253,1.30018,0.77869,1,0.935,0.64084,1.0587,2.04644,1.57407,7.02386e-05,7.02386e-05,7.02386e-05
10,13.2873,1.23939,1.79635,1.33878,0.8069,0.88889,0.975,0.64123,1.14697,2.66481,1.63847,7.70097e-05,7.70097e-05,7.70097e-05
11,14.3095,1.12271,1.47757,1.23454,0.79733,1,0.984,0.64083,1.12332,3.17367,1.63714,8.34666e-05,8.34666e-05,8.34666e-05
12,15.3452,1.31913,1.53665,1.39282,0.95724,1,0.995,0.68429,1.09394,3.21964,1.59195,8.96094e-05,8.96094e-05,8.96094e-05
13,16.4803,0.97937,1.10527,1.13638,0.89508,1,0.995,0.71987,1.07922,3.08537,1.53511,9.5438e-05,9.5438e-05,9.5438e-05
14,17.5035,1.04031,1.05357,1.17484,0.89269,1,0.984,0.72009,1.08452,2.86571,1.48726,0.000100952,0.000100952,0.000100952
15,18.4734,0.85487,0.98164,1.10952,0.88605,0.88889,0.94306,0.69404,1.07917,2.90416,1.41507,0.000106153,0.000106153,0.000106153
16,19.683,0.97817,1.0519,1.19856,0.88658,0.87038,0.94306,0.71529,1.00351,3.25845,1.33549,0.000111039,0.000111039,0.000111039
17,20.6319,1.00418,1.03696,1.18297,0.95628,0.88889,0.984,0.72282,1.01874,3.07692,1.31486,0.000115611,0.000115611,0.000115611
18,21.6684,0.87583,0.95962,1.07382,0.99616,1,0.995,0.77782,0.98357,2.75175,1.29391,0.000119869,0.000119869,0.000119869
19,22.7139,1.08688,1.07596,1.23916,0.99491,1,0.995,0.80358,0.95521,2.34895,1.30443,0.000123812,0.000123812,0.000123812
20,24.2985,0.92071,0.99206,1.18303,0.99472,1,0.995,0.76484,0.96897,2.07088,1.34602,0.000127442,0.000127442,0.000127442
